org_siape,cod_org,n_ativos,grupo_nucleo,candidatos
MINISTERIO DO DESENVOLVIMENTO REGIONAL,40112,6,,MINISTERIO DO ESPORTE (76) | MINISTERIO DO TURISMO (76) | MIN DA INTEG E DO DESENV REGIONAL (70)
EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,49280,6,,AGENCIA BRASILEIRA DE INTELIGENCIA (60) | INSTITUTO BRASILEIRO DE MUSEUS (55) | AGENCIA NAC. DE TRANSPORTES TERRESTRES (54)
GOVERNO DO DISTRITO FEDERAL,99072,6,,INSTITUTO FEDERAL DO MARANHAO (75) | INSTITUTO FEDERAL DO PARANA (74) | INSTITUTO FEDERAL DO PARA (73)
TRIBUNAL REGIONAL ELEITORAL - AM,99025,5,,MIN DA INTEG E DO DESENV REGIONAL (55) | AGENCIA NACIONAL DE ENERGIA ELETRICA (53) | UNIV. FEDERAL DO RECONCAVO DA BAHIA (51)
COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,99010,5,,INSTITUTO DE PESQUISA ECONOMICA APLICADA (58) | COMISSAO DE VALORES MOBILIARIOS (54) | AGENCIA NACIONAL DE MINERACAO (53)
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,22202,5,,AGENCIA ESPACIAL BRASILEIRA (66) | AGENCIA BRASILEIRA DE INTELIGENCIA (65) | INSTITUTO DE PESQUISA ECONOMICA APLICADA (55)
TRIBUNAL REGIONAL ELEITORAL - SP,00166,5,,MIN DA INTEG E DO DESENV REGIONAL (55) | INSTITUTO FEDERAL DE GOIAS (52) | INSTITUTO FEDERAL DO PARANA (51)
CAMARA LEGISLATIVA DO DISTRITO FEDERAL,97401,4,,INSTITUTO FEDERAL DE SANTA CATARINA (71) | INSTITUTO FEDERAL DO AMAPA (69) | INSTITUTO FEDERAL DO CEARA (69)
PETROBRAS - HOLDING,91084,4,,COLEGIO PEDRO II (46) | MINISTERIO DO TURISMO (40) | MINISTERIO DOS TRANSPORTES (40)
TRIBUNAL REGIONAL ELEITORAL - SC,00168,4,,MIN DA INTEG E DO DESENV REGIONAL (55) | AGENCIA NACIONAL DE ENERGIA ELETRICA (53) | INSTITUTO FEDERAL DE GOIAS (52)
FINANCIADORA DE ESTUDOS E PROJETOS,20502,4,,MINISTERIO DE PORTOS E AEROPORTOS (60) | FUNDACAO UNIV. FEDERAL DE OURO PRETO (54) | FUNDACAO NACIONAL DOS POVOS INDIGENAS (54)
GOVERNO DO ESTADO DO AMAPA,93220,4,,INSTITUTO FEDERAL DO AMAPA (61) | FUNDACAO UNVERSIDADE FEDERAL DO AMAPA (57) | INSTITUTO FEDERAL DO AMAZONAS (54)
GOVERNO DO ESTADO DE RONDONIA,93520,4,,INSTITUTO FEDERAL DE RONDONIA (62) | FUND. UNIVERSIDADE FEDERAL DE RONDONIA (60) | DEPTO. DE POLICIA RODOVIARIA FEDERAL (55)
JUSTICA ELEITORAL,99904,4,,MINIST. DA JUSTICA E SEGURANCA PUBLICA (58) | UNIVERSIDADE FEDERAL DE JATAI (48) | INSTITUTO FEDERAL DO PARA (48)
NUCLEBRAS EQUIPAMENTOS PESADOS,20302,4,,DEPARTAMENTO DE POLICIA FEDERAL (49) | DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP. (49) | AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS (46)
GOVERNO DO ESTADO DE RORAIMA,93620,3,,UNIVERSIDADE FEDERAL DE RORAIMA (61) | INSTITUTO FEDERAL DE RORAIMA (61) | UNIV. FEDERAL RURAL DO RIO DE JANEIRO (55)
TRIBUNAL REGIONAL ELEITORAL - SE,99019,3,,MIN DA INTEG E DO DESENV REGIONAL (58) | INSTITUTO FEDERAL DE GOIAS (52) | INSTITUTO FEDERAL DO PARANA (51)
EMPRESA GERENCIAL DE PROJETOS NAVAIS,92012,3,,AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS (56) | MINISTERIO DE PORTOS E AEROPORTOS (55) | AGENCIA NACIONAL DE AGUAS (52)
CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVANCADA S.A.,24209,3,,AGENCIA NACIONAL DE ENERGIA ELETRICA (69) | AGENCIA NACIONAL DE TELECOMUNICACOES (62) | AGENCIA NACIONAL DE AGUAS (61)
CONSELHO DA JUSTICA FEDERAL,99901,3,,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL (62) | UNIVERSIDADE FEDERAL DE SAO CARLOS (62) | UNIVERSIDADE FEDERAL DE CATALAO (62)
TRIBUNAL REGIONAL ELEITORAL - AL,99024,3,,MIN DA INTEG E DO DESENV REGIONAL (55) | AGENCIA NACIONAL DE ENERGIA ELETRICA (53) | UNIV. FEDERAL DO RECONCAVO DA BAHIA (51)
PREFEITURA DE SAO LUIS - MA,99132,3,,FUND. UNIVERSIDADE DE SAO JOAO DEL REI (55) | FUNDACAO ALEXANDRE DE GUSMAO (51) | MINISTERIO DO TRABALHO E PREVIDENCIA (51)
PREFEITURA MUNICIPAL DE PORTO VELHO - RO,99033,3,,FUNDACAO UNIV. FEDERAL DE OURO PRETO (53) | MINISTERIO DO TRABALHO E PREVIDENCIA (53) | MINISTERIO DA PREVIDENCIA SOCIAL (47)
COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO PARNAIBA,22203,3,,SUP.DE DESENVOLVIMENTO DO CENTRO OESTE (64) | FUND.UNIV.FED.DO VALE DO SAO FRANCISCO (59) | FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO (53)
GOVERNO DO ESTADO DE MATO GROSSO,97220,3,,INSTITUTO FEDERAL DE MATO GROSSO DO SUL (69) | UNIV. FEDERAL DE MATO GROSSO DO SUL (69) | UNIVERSIDADE FEDERAL DE MATO GROSSO (66)
ASSEMBLEIA LEGISLATIVA - PERNAMBUCO,99071,3,,INSTITUTO FEDERAL DE PERNAMBUCO (61) | UNIVERSIDADE FEDERAL DE PERNAMBUCO (58) | UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO (56)
PREFEITURA DE SAO PAULO/SP,99131,2,,UNIVERSIDADE FEDERAL DE SAO CARLOS (57) | INSTITUTO FEDERAL DE ALAGOAS (56) | UNIVERSIDADE FEDERAL DE SAO PAULO (54)
PREFEITURA MUNICIPAL DE ARACAJU - SE,99036,2,,SUPERINTENDENCIA ZONA FRANCA DE MANAUS (51) | AGENCIA NACIONAL DE TELECOMUNICACOES (50) | FUNDACAO CASA DE RUI BARBOSA (50)
PREFEITURA MUNICIPAL DE VITORIA - ES,99045,2,,AGENCIA BRASILEIRA DE INTELIGENCIA (54) | MINISTERIO DO TRABALHO E PREVIDENCIA (53) | AGENCIA NACIONAL DE VIGILANCIA SANITARIA (53)
GOVERNO DO ESTADO DO AMAZONAS,93320,2,,INSTITUTO FEDERAL DO AMAZONAS (65) | FUNDACAO UNIVERSIDADE DO AMAZONAS (61) | INSTITUTO FEDERAL DO AMAPA (54)
ASSEMBLEIA LEGISLATIVA - CEARA,99041,2,,INSTITUTO FEDERAL DO CEARA (54) | UNIVERSIDADE FEDERAL DO CEARA (51) | AGENCIA ESPACIAL BRASILEIRA (49)
BANCO DO NORDESTE DO BRASIL,25282,2,,SUPERINTENDENCIA DO DESENV. DO NORDESTE (63) | AGENCIA BRASILEIRA DE INTELIGENCIA (55) | UNIVERSIDADE FEDERAL DO ACRE (54)
TRIBUNAL REGIONAL DO TRABALHO - MS,99042,2,,MINISTERIO DO TRABALHO E EMPREGO (67) | MINISTERIO DO TRABALHO E PREVIDENCIA (66) | MIN DA INTEG E DO DESENV REGIONAL (57)
TRIBUNAL DE CONTAS DA UNIAO,90000,2,,CONTROLADORIA-GERAL DA UNIAO (69) | ADVOCACIA-GERAL DA UNIAO (59) | UNIVERSIDADE FEDERAL RURAL DA AMAZONIA (58)
TELEBRAS - TELECOM. BRASILEIRAS S.A.,24100,2,,AGENCIA BRASILEIRA DE INTELIGENCIA (54) | INSTITUTO FEDERAL DE BRASILIA (52) | AGENCIA ESPACIAL BRASILEIRA (51)
TRIBUNAL REGIONAL DO TRABALHO - BA,99070,2,,MINISTERIO DO TRABALHO E EMPREGO (64) | MINISTERIO DO TRABALHO E PREVIDENCIA (60) | MIN DA INTEG E DO DESENV REGIONAL (54)
CASA DA MOEDA DO BRASIL,25211,2,,FUNDACAO UNIVERSIDADE DE BRASILIA (57) | FUNDACAO CASA DE RUI BARBOSA (55) | UNIVERSIDADE FEDERAL DO SUL DA BAHIA (54)
TRIBUNAL REGIONAL ELEITORAL - MT,00163,2,,MIN DA INTEG E DO DESENV REGIONAL (55) | INSTITUTO FEDERAL DO TRIANGULO MINEIRO (51) | AGENCIA NACIONAL DE ENERGIA ELETRICA (50)
TRIBUNAL REGIONAL DO TRABALHO MG,99001,2,,MINISTERIO DO TRABALHO E EMPREGO (66) | MINISTERIO DO TRABALHO E PREVIDENCIA (62) | MIN DA INTEG E DO DESENV REGIONAL (52)
TRIBUNAL REGIONAL DO TRABALHO - MT,99052,2,,MINISTERIO DO TRABALHO E EMPREGO (67) | MINISTERIO DO TRABALHO E PREVIDENCIA (66) | MIN DA INTEG E DO DESENV REGIONAL (54)
ASSEMBLEIA LEGISLATIVA - MINAS GERAIS,00160,1,,INSTITUTO FEDERAL DE MINAS GERAIS (63) | UNIVERSIDADE FEDERAL DE MINAS GERAIS (60) | INSTITUTO FEDERAL DO SUL DE MINAS GERAIS (57)
APEX-BRASIL,35001,1,,AGENCIA ESPACIAL BRASILEIRA (42) | INSTITUTO FEDERAL DO AMAPA (38) | AGENCIA BRASILEIRA DE INTELIGENCIA (36)
"MINISTERIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVICOS",28000,1,,MINISTERIO DA SAUDE (81) | MINISTERIO DA DEFESA (79) | MINISTERIO DA CULTURA (76)
JUSTICA FEDERAL - SECAO JUDICIARIA DE SERGIPE,12001,1,,INSTITUTO FEDERAL DE SERGIPE (78) | FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE (68) | UNIVERSIDADE FEDERAL DE SAO CARLOS (61)
ORGAO CENTRAL DO SIPEC - SISTEMA DE PESSOAL CIVIL DA ADMINISTRACAO FEDERAL,98000,1,,INSTITUTO FEDERAL DO ACRE (57) | INSTITUTO FEDERAL DO PARA (57) | INSTITUTO FEDERAL DA BAHIA (56)
TRIBUNAL REGIONAL ELEITORAL - ES,99018,1,,MIN DA INTEG E DO DESENV REGIONAL (58) | AGENCIA NACIONAL DE ENERGIA ELETRICA (53) | INSTITUTO FEDERAL DE MINAS GERAIS (52)
TRIBUNAL REGIONAL ELEITORAL - AC,99023,1,,AGENCIA NACIONAL DE ENERGIA ELETRICA (56) | MIN DA INTEG E DO DESENV REGIONAL (55) | UNIV. FEDERAL DO RECONCAVO DA BAHIA (51)
TRIBUNAL REGIONAL DO TRABALHO DA 3A REGIAO,99100,1,,MINISTERIO DO TRABALHO E EMPREGO (62) | MIN DA INTEG E DO DESENV REGIONAL (60) | MINISTERIO DO TRABALHO E PREVIDENCIA (59)
TRIBUNAL REGIONAL DO TRABALHO - AL,99050,1,,MINISTERIO DO TRABALHO E EMPREGO (64) | MINISTERIO DO TRABALHO E PREVIDENCIA (60) | MIN DA INTEG E DO DESENV REGIONAL (54)
TRIBUNAL DE JUSTICA DO ESTADO DE RONDONIA,99044,1,,INSTITUTO FEDERAL DE RONDONIA (63) | DEPTO. DE POLICIA RODOVIARIA FEDERAL (59) | FUND. UNIVERSIDADE FEDERAL DE RONDONIA (58)
TRIBUNAL DE JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS,99048,1,,INSTITUTO FEDERAL DO RIO DE JANEIRO (65) | INSTITUTO FEDERAL DO TRIANGULO MINEIRO (61) | INSTITUTO FEDERAL DO RIO GRANDE DO SUL (61)
SEM INFORMACAO,-1,1,,FUNDACAO OSORIO (48) | FUNDACAO ALEXANDRE DE GUSMAO (43) | MINISTERIO DA SAUDE (42)
SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,25207,1,,DEPARTAMENTO DE POLICIA FEDERAL (67) | UNIV. FEDERAL DE MATO GROSSO DO SUL (66) | UNIVERSIDADE FEDERAL DO ESPIRITO SANTO (63)
MINISTERIO DO DESENVOLVIMENTO SOCIAL,55000,1,,MINISTERIO DO ESPORTE (76) | MINISTERIO DO TURISMO (76) | MINISTERIO DA PREVIDENCIA SOCIAL (71)
EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S.A.,29205,1,,MINISTERIO DE PORTOS E AEROPORTOS (53) | AGENCIA NAC. DE TRANSPORTES TERRESTRES (52) | FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE (51)
TRIBUNAL REGIONAL ELEITORAL - PR,99017,1,,MIN DA INTEG E DO DESENV REGIONAL (55) | MINISTERIO DO TRABALHO E PREVIDENCIA (53) | UNIV. FEDERAL DO DELTA DO PARNAIBA (51)
TRIBUNAL REGIONAL FEDERAL DA 3A REGIAO - SP,99069,1,,UNIV. FEDERAL DO RECONCAVO DA BAHIA (62) | INSTITUTO FEDERAL DA BAHIA (61) | INSTITUTO FEDERAL DE SANTA CATARINA (59)
CONSELHO NACIONAL DE JUSTICA,17100,1,,INSTITUTO NACIONAL DE SEGURO SOCIAL (63) | FUNDACAO NACIONAL DE ARTES (63) | FUNDACAO NACIONAL DE SAUDE (63)
COMPANHIA DOCAS DO ESTADO DE SAO PAULO,99058,1,,INSTITUTO FEDERAL DE SAO PAULO (57) | UNIVERSIDADE FEDERAL DE SAO PAULO (56) | UNIVERSIDADE FEDERAL DO OESTE DA BAHIA (53)
COMPANHIA ENERGETICA DE BRASILIA,99060,1,,FUNDACAO UNIVERSIDADE DE BRASILIA (62) | AGENCIA BRASILEIRA DE INTELIGENCIA (58) | INSTITUTO FEDERAL DE BRASILIA (56)
CAIXA ECONOMICA FEDERAL,25220,1,,UNIV. FEDERAL DO RECONCAVO DA BAHIA (62) | UNIVERSIDADE FEDERAL DO CEARA (62) | INSTITUTO FEDERAL DO CEARA (61)
