uf,grupo_nucleo,n_ativos,ano
MT,IBGE,43,2018
MS,INSS,208,2018
SP,IF,4474,2018
CE,IBGE,112,2018
PA,INSS,362,2018
AM,IF,1795,2018
ES,UNIV,3814,2018
SC,INSS,1081,2018
TO,UNIV,1975,2018
PI,,2071,2018
AC,UNIV,1443,2018
RO,,1014,2018
AP,UNIV,1379,2018
RR,UNIV,992,2018
SE,IF,1298,2018
MG,IBGE,268,2018
ES,INSS,483,2018
SE,,858,2018
AC,,336,2018
RR,IF,650,2018
ES,,1070,2018
MA,,1382,2018
AL,INSS,401,2018
MS,IF,1125,2018
AL,,697,2018
CE,INSS,1080,2018
PR,IF,2250,2018
SP,IBGE,303,2018
TO,INSS,76,2018
RJ,INSS,2009,2018
PB,INSS,526,2018
AP,IF,595,2018
RS,INSS,1506,2018
RN,INSS,211,2018
DF,INSS,326,2018
AL,IBGE,44,2018
SE,INSS,239,2018
AM,INSS,288,2018
PR,INSS,1167,2018
MT,INSS,259,2018
GO,INSS,601,2018
BA,IBGE,157,2018
GO,IBGE,67,2018
RS,IBGE,127,2018
PR,IBGE,157,2018
SC,IBGE,73,2018
SE,IBGE,38,2018
MA,IBGE,76,2018
RO,INSS,156,2018
PB,IBGE,54,2018
RO,IBGE,23,2018
RN,IBGE,36,2018
MS,IBGE,44,2018
AP,INSS,74,2018
TO,IBGE,23,2018
AM,IBGE,24,2018
AC,INSS,18,2018
PE,IBGE,70,2018
DF,IBGE,26,2018
PI,IBGE,55,2018
PA,IBGE,55,2018
AC,IBGE,9,2018
RR,INSS,7,2018
BA,IF,12,2018
AP,IBGE,2,2018
RR,IBGE,1,2018
CE,IF,3569,2019
PA,UNIV,7175,2019
PB,,3061,2019
,,141946,2019
AP,,1032,2019
PI,IF,4207,2019
MG,UNIV,23695,2019
MS,UNIV,4771,2019
DF,,1635,2019
GO,UNIV,5180,2019
,UNIV,24355,2019
DF,UNIV,5491,2019
,IF,2133,2019
RS,,3352,2019
MT,IF,1891,2019
GO,IF,2012,2019
SC,UNIV,5835,2019
CE,UNIV,5571,2019
PE,IF,2296,2019
BA,UNIV,8622,2019
PB,UNIV,8925,2019
PE,,2186,2019
AL,UNIV,3265,2019
ES,IF,2890,2019
MG,,3256,2019
TO,,494,2019
RO,,753,2019
RN,,616,2019
MA,UNIV,3525,2019
SC,,2951,2019
RS,IF,2975,2019
RS,UNIV,10907,2019
RO,UNIV,1274,2019
RJ,IF,2121,2019
MG,IF,7215,2019
PA,IF,2732,2019
MA,IF,3160,2019
AL,IF,1783,2019
,INSS,7049,2019
,IBGE,2708,2019
PI,UNIV,3581,2019
PR,UNIV,9321,2019
MT,UNIV,3335,2019
AC,IF,730,2019
PE,UNIV,8572,2019
PR,,1883,2019
RJ,UNIV,18236,2019
AM,UNIV,3247,2019
SE,UNIV,2881,2019
GO,,1140,2019
CE,,1722,2019
BA,,5943,2019
AM,,1178,2019
RJ,IBGE,135,2019
SP,UNIV,6809,2019
DF,IF,1226,2019
BA,INSS,1160,2019
RN,IF,2619,2019
TO,IF,1231,2019
RJ,,4176,2019
RO,IF,1071,2019
PA,,1594,2019
ES,IBGE,46,2019
PE,INSS,733,2019
MT,,890,2019
PI,INSS,319,2019
SP,,4713,2019
RN,UNIV,5343,2019
SP,INSS,3030,2019
MT,IBGE,38,2019
MS,INSS,145,2019
SP,IF,4581,2019
MG,INSS,1654,2019
PA,INSS,273,2019
SC,IF,2606,2019
AM,IF,1727,2019
SC,INSS,732,2019
RR,,492,2019
TO,UNIV,2003,2019
PI,,1912,2019
AC,UNIV,1473,2019
AP,UNIV,1340,2019
RR,UNIV,1014,2019
SE,IF,1267,2019
MG,IBGE,256,2019
ES,INSS,323,2019
MA,INSS,393,2019
AC,,273,2019
RR,IF,619,2019
ES,,767,2019
ES,UNIV,3779,2019
MA,,1162,2019
AL,INSS,272,2019
MS,IF,1193,2019
AL,,622,2019
CE,INSS,769,2019
PR,IF,2288,2019
MS,,784,2019
SP,IBGE,290,2019
TO,INSS,64,2019
AP,IF,596,2019
RS,INSS,1097,2019
RN,INSS,161,2019
DF,INSS,203,2019
AL,IBGE,41,2019
SE,INSS,167,2019
AM,INSS,189,2019
RJ,INSS,1276,2019
SE,,602,2019
PR,INSS,834,2019
MT,INSS,197,2019
GO,INSS,392,2019
PB,INSS,356,2019
BA,IBGE,146,2019
GO,IBGE,61,2019
RS,IBGE,114,2019
PR,IBGE,132,2019
SC,IBGE,73,2019
SE,IBGE,28,2019
MA,IBGE,69,2019
PB,IBGE,43,2019
RO,IBGE,20,2019
RN,IBGE,31,2019
MS,IBGE,40,2019
RO,INSS,91,2019
AP,INSS,41,2019
TO,IBGE,19,2019
AM,IBGE,25,2019
AC,INSS,10,2019
PE,IBGE,63,2019
DF,IBGE,20,2019
CE,IBGE,72,2019
PA,IBGE,63,2019
PI,IBGE,53,2019
AC,IBGE,6,2019
RR,INSS,7,2019
AP,IBGE,2,2019
BA,IF,11,2019
RR,IBGE,1,2019
CE,IF,3554,2020
PA,UNIV,7152,2020
PB,,3210,2020
,,134779,2020
AP,,935,2020
PI,IF,4259,2020
MG,UNIV,23521,2020
MS,UNIV,4746,2020
DF,,1333,2020
GO,UNIV,5216,2020
,UNIV,24351,2020
DF,UNIV,5487,2020
,IF,2128,2020
RS,,3338,2020
MT,IF,1891,2020
GO,IF,2000,2020
SC,UNIV,5755,2020
CE,UNIV,5507,2020
PE,IF,2361,2020
BA,UNIV,8650,2020
PB,UNIV,9144,2020
PE,,2039,2020
AL,UNIV,3305,2020
ES,IF,2892,2020
MG,,3156,2020
RO,,755,2020
RN,,584,2020
MA,UNIV,3503,2020
SC,,2944,2020
RS,UNIV,10784,2020
RO,UNIV,1258,2020
RJ,IF,2120,2020
MG,IF,7386,2020
PA,IF,2614,2020
AL,IF,1824,2020
,INSS,6502,2020
,IBGE,2592,2020
RS,IF,3006,2020
PI,UNIV,3570,2020
PR,UNIV,9202,2020
MT,UNIV,3248,2020
MG,INSS,1526,2020
PE,UNIV,8666,2020
PR,,1866,2020
AM,UNIV,3239,2020
SE,UNIV,2863,2020
GO,,1075,2020
BA,,5824,2020
RJ,UNIV,17917,2020
AM,,1101,2020
RJ,IBGE,131,2020
SP,UNIV,6777,2020
DF,IF,1221,2020
MA,IF,3227,2020
AC,IF,720,2020
RN,IF,2652,2020
TO,IF,1228,2020
RJ,,3538,2020
RO,IF,1184,2020
PA,,1389,2020
ES,IBGE,45,2020
PE,INSS,737,2020
MT,,831,2020
PI,INSS,317,2020
SP,,4592,2020
RN,UNIV,5334,2020
SP,INSS,2844,2020
MT,IBGE,36,2020
MS,INSS,126,2020
SP,IF,4615,2020
PR,IF,2220,2020
PA,INSS,257,2020
CE,,1658,2020
AL,,639,2020
AM,IF,1750,2020
SC,INSS,691,2020
TO,UNIV,2011,2020
PI,,1822,2020
AC,UNIV,1442,2020
AP,UNIV,1317,2020
RR,UNIV,990,2020
SE,IF,1278,2020
MG,IBGE,258,2020
ES,INSS,313,2020
MA,INSS,374,2020
AC,,259,2020
RR,IF,590,2020
ES,,760,2020
ES,UNIV,3728,2020
MA,,1094,2020
BA,INSS,1088,2020
MS,IF,1197,2020
CE,INSS,728,2020
MS,,765,2020
SP,IBGE,279,2020
TO,INSS,59,2020
SC,IF,2653,2020
AP,IF,595,2020
AL,INSS,251,2020
RS,INSS,1042,2020
RN,INSS,156,2020
DF,INSS,183,2020
RR,,448,2020
AL,IBGE,40,2020
SE,INSS,176,2020
AM,INSS,164,2020
RJ,INSS,1113,2020
SE,,541,2020
PR,INSS,808,2020
MT,INSS,195,2020
GO,INSS,371,2020
PB,INSS,309,2020
BA,IBGE,145,2020
GO,IBGE,57,2020
RS,IBGE,112,2020
TO,,504,2020
PR,IBGE,126,2020
SC,IBGE,70,2020
SE,IBGE,28,2020
MA,IBGE,69,2020
PB,IBGE,42,2020
RO,IBGE,20,2020
RN,IBGE,27,2020
MS,IBGE,38,2020
RO,INSS,83,2020
AP,INSS,37,2020
TO,IBGE,17,2020
AM,IBGE,25,2020
PI,IBGE,56,2020
PE,IBGE,63,2020
DF,IBGE,19,2020
CE,IBGE,71,2020
PA,IBGE,63,2020
AC,INSS,7,2020
AC,IBGE,6,2020
RR,INSS,5,2020
AP,IBGE,2,2020
BA,IF,11,2020
RR,IBGE,1,2020
CE,IF,3548,2021
PA,UNIV,7093,2021
PB,,3155,2021
,,130064,2021
AP,,846,2021
PI,IF,4274,2021
MG,UNIV,23314,2021
MS,UNIV,4685,2021
DF,,1212,2021
GO,UNIV,5183,2021
DF,UNIV,5404,2021
,IF,2367,2021
SP,UNIV,6741,2021
MT,IF,1910,2021
GO,IF,2009,2021
AL,UNIV,3303,2021
SC,UNIV,5747,2021
CE,UNIV,5494,2021
PE,IF,2363,2021
BA,UNIV,8605,2021
PB,UNIV,9059,2021
PE,,1934,2021
ES,IF,2877,2021
MG,,2986,2021
RN,,596,2021
MA,UNIV,3469,2021
SC,,2912,2021
RS,UNIV,10717,2021
RO,UNIV,1245,2021
RJ,IF,2055,2021
MG,IF,7362,2021
PA,IF,2378,2021
AL,IF,1841,2021
,INSS,6606,2021
,IBGE,2529,2021
RS,IF,3034,2021
PI,UNIV,3579,2021
PR,UNIV,9043,2021
MT,UNIV,3221,2021
RS,,3392,2021
PE,UNIV,8626,2021
PR,,1764,2021
AM,UNIV,3165,2021
SE,UNIV,2874,2021
GO,,1038,2021
,UNIV,24172,2021
BA,,5710,2021
RJ,UNIV,17731,2021
AM,,1010,2021
RJ,IBGE,128,2021
DF,IF,1212,2021
MA,IF,3225,2021
AC,IF,716,2021
RN,IF,2659,2021
TO,IF,1212,2021
RJ,,3372,2021
RO,IF,1187,2021
PA,,1356,2021
ES,IBGE,44,2021
PE,INSS,668,2021
MT,,787,2021
SP,,4263,2021
SP,INSS,2678,2021
MT,IBGE,34,2021
MS,INSS,113,2021
SP,IF,4621,2021
RN,UNIV,5341,2021
PR,IF,2248,2021
AM,IF,1741,2021
MG,INSS,1383,2021
PA,INSS,237,2021
CE,,1596,2021
AL,,604,2021
SC,INSS,661,2021
TO,UNIV,1991,2021
PI,,1708,2021
AC,,227,2021
RO,,749,2021
AP,UNIV,1296,2021
RR,UNIV,971,2021
SE,IF,1261,2021
MG,IBGE,252,2021
ES,INSS,377,2021
AC,UNIV,1446,2021
MA,INSS,364,2021
RR,IF,630,2021
ES,,727,2021
ES,UNIV,3651,2021
MA,,1017,2021
BA,INSS,1030,2021
MS,IF,1202,2021
CE,INSS,681,2021
TO,,508,2021
MS,,724,2021
SP,IBGE,263,2021
