uf,nome,regiao,lente,populacao,n_ativos,n_ativos_base_b,n_abono,A_raw,B_raw,A_pct,B_pct,quadrante,classe,gravidade,posicao,flags
AM,Amazonas,Norte,total,4321616,7133,6512,1144,16.51,0.1757,34.6,69.2,deserto_critico,Deserto crítico,67.3,8,
RJ,Rio de Janeiro,Sudeste,total,17223547,57636,53947,11876,33.46,0.2201,92.3,96.2,presenca_em_risco,Presença em risco,52.0,11,
AP,Amapá,Norte,total,806517,2458,2409,450,30.48,0.1868,80.8,76.9,presenca_em_risco,Presença em risco,48.1,12,
PR,Paraná,Sul,total,11890517,16358,16215,1582,13.76,0.0976,11.5,7.7,deserto_estavel,Deserto estável,48.1,12,
PI,Piauí,Nordeste,total,3384547,8039,7047,994,23.75,0.1411,65.4,46.2,presenca_consolidada,Presença consolidada,40.4,14,
PB,Paraíba,Nordeste,total,4164468,12697,12514,2130,30.49,0.1702,84.6,65.4,presenca_em_risco,Presença em risco,40.4,14,
RN,Rio Grande do Norte,Nordeste,total,3455236,10236,10130,1519,29.62,0.15,76.9,53.8,presenca_em_risco,Presença em risco,38.4,16,
MT,Mato Grosso,Centro-Oeste,total,3893659,6529,6284,676,16.77,0.1076,42.3,15.4,deserto_estavel,Deserto estável,36.6,17,
RS,Rio Grande do Sul,Sul,total,11233263,26427,26206,3100,23.53,0.1183,61.5,34.6,presenca_consolidada,Presença consolidada,36.6,17,
MG,Minas Gerais,Sudeste,total,21393441,42452,42131,4721,19.84,0.1121,53.8,23.1,presenca_consolidada,Presença consolidada,34.7,19,
SE,Sergipe,Nordeste,total,2299425,5139,5048,579,22.35,0.1147,57.7,26.9,presenca_consolidada,Presença consolidada,34.6,20,
ES,Espírito Santo,Sudeste,total,4126854,7946,7795,858,19.25,0.1101,50.0,19.2,presenca_consolidada,Presença consolidada,34.6,20,
SC,Santa Catarina,Sul,total,8187029,13669,13502,1218,16.7,0.0902,38.5,3.8,deserto_estavel,Deserto estável,32.6,22,
RR,Roraima,Norte,total,738772,2562,2450,383,34.68,0.1563,96.2,57.7,presenca_em_risco,Presença em risco,30.8,23,
AC,Acre,Norte,total,884372,2714,2605,336,30.69,0.129,88.5,38.5,presenca_consolidada,Presença consolidada,25.0,24,
MS,Mato Grosso do Sul,Centro-Oeste,total,2924631,7303,7136,736,24.97,0.1031,73.1,11.5,presenca_consolidada,Presença consolidada,19.2,25,
TO,Tocantins,Norte,total,1586859,3836,3731,206,24.17,0.0552,69.2,0.0,presenca_consolidada,Presença consolidada,15.4,26,
DF,Distrito Federal,Centro-Oeste,total,2996899,42877,33356,3913,143.07,0.1173,100.0,30.8,presenca_consolidada,Presença consolidada,15.4,26,
